zaman,yukseklik,ivme
41.35,719.86,0.038948
41.40,705.97,0.042275
41.45,692.09,0.037582
41.50,678.22,0.036345
41.55,664.36,0.036226
41.60,650.51,0.036336
41.65,636.67,0.035791
41.70,622.83,0.035949
41.75,609.01,0.056207
41.80,595.2,0.029537
41.85,581.4,0.032203
41.90,567.6,0.039818
41.95,553.82,0.034898
42.00,540.04,0.034574
42.05,526.27,0.036057
42.10,512.51,0.034521
42.15,498.76,0.036164
42.20,485.02,0.041566
42.25,484.82,67.798
42.30,484.62,65.005
42.35,484.41,62.257
42.40,484.19,59.558
42.45,483.97,56.911
42.50,483.74,54.317
42.55,483.51,51.774
42.60,483.27,49.284
42.65,483.02,46.846
42.70,482.76,44.46
42.75,482.5,42.125
42.80,482.23,39.842
42.85,481.95,37.61
42.90,481.65,35.429
42.95,481.35,33.299
43.00,481.03,31.222
43.05,480.71,29.194
43.10,480.36,27.219
43.15,480.0,25.294
43.20,479.62,23.422
43.25,479.22,21.602
43.30,478.8,19.832
43.35,478.36,18.113
43.40,477.88,16.446
43.45,477.36,14.834
43.50,476.81,13.271
43.55,476.21,11.764
43.60,475.54,10.312
43.65,474.8,8.8914
43.70,473.96,7.529
43.75,472.97,6.2212
43.80,471.79,4.9668
43.85,470.31,3.7654
43.90,468.3,2.6215
43.95,464.95,1.5279
44.00,460.02,0.4807
44.05,455.15,0.021654
44.10,450.28,0.0048683
44.15,445.41,-0.019579
44.20,440.54,0.0013892
44.25,435.67,0.0075141
44.30,430.8,0.037586
44.35,425.94,-0.028828
44.40,421.08,0.0048027
44.45,416.33,0.055231
44.50,411.47,-0.046601
44.55,406.6,0.0058937
44.60,401.74,0.016281
44.65,396.88,-0.0074747
44.70,392.03,0.0051066
44.75,387.17,0.031704
44.80,382.32,-0.012712
44.85,377.46,-0.0034974
44.90,372.61,0.01041
44.95,367.76,0.0042737
45.00,362.91,0.0081608
45.05,358.06,-0.0029084
45.10,353.21,0.0037434
45.15,348.36,0.020965
45.20,343.52,-0.0096189
45.25,338.67,0.00082385
45.30,333.83,0.011639
45.35,328.98,-0.0028056
45.40,324.14,0.014198
45.45,319.3,0.0067388
45.50,314.46,-0.0023488
45.55,309.62,-0.0001058
45.60,304.79,0.011983
45.65,299.95,0.005183
45.70,295.12,0.034611
45.75,290.29,-0.033721
45.80,285.46,0.0051105
45.85,280.63,0.033244
45.90,276.2,0.035386
45.95,271.38,-0.049414
46.00,266.55,0.017451
46.05,261.73,-0.0067956
46.10,257.0,0.052258
46.15,252.18,-0.037369
46.20,247.36,-0.0047988
46.25,242.53,0.011755
46.30,237.71,0.011967
46.35,232.89,0.0024663
46.40,228.08,0.0044756
46.45,223.26,0.01467
46.50,218.45,0.013653
46.55,213.87,0.027904
46.60,209.06,-0.038089
46.65,204.25,0.025465
46.70,199.44,-0.025894
46.75,195.62,0.081132
46.80,190.81,-0.05831
46.85,186.01,0.032311
46.90,181.2,-0.0040882
46.95,176.4,-0.014805
47.00,171.59,0.035567
47.05,166.8,0.023338
47.10,162.0,-0.024521
47.15,157.2,-0.01252
47.20,152.4,0.028465
47.25,147.61,-0.014651
47.30,142.81,-0.0027744
47.35,138.19,0.056894
47.40,133.4,-0.046697
47.45,128.61,0.022089
47.50,123.81,-0.014554
47.55,119.02,0.0062778
47.60,114.22,0.0037546
47.65,109.43,0.00641
47.70,104.64,0.021935
47.75,99.859,0.006708
47.80,95.073,-0.016969
47.85,90.285,0.011334
47.90,85.5,0.0016688
47.95,81.751,0.079629
48.00,76.974,-0.05812
48.05,72.191,0.0034459
48.10,67.41,0.020272
48.15,62.631,-0.0041321
48.20,57.855,0.023186
48.25,53.079,-0.016342
48.30,48.303,0.0098683
48.35,43.527,-0.0070286
48.40,38.752,0.016958
48.45,35.166,0.078456
48.50,30.4,-0.064707
48.55,25.627,0.008983
48.60,20.856,0.012694
48.65,16.088,-0.00097915
48.70,11.523,0.051695
48.75,6.7607,-0.049251
48.80,1.9934,0.012167
48.85,-2.7726,-0.0018767
